EmpID,ProjectID,DateFrom,DateTo
2,460,2014-09-14,2016-12-12
80,381,2021-10-24,2022-02-23
26,525,2021-07-25,2023-02-09
26,918,2016-10-31,2017-12-18
22,286,2013-09-20,2022-12-05
62,207,2017-09-27,2018-02-19
27,142,2021-10-08,2022-03-01
56,77,2018-07-20,2019-12-06
16,555,2021-12-19,2023-03-13
12,446,2021-05-09,2023-04-02
94,408,2015-09-26,2015-12-21
11,896,2021-12-16,2023-05-31
86,202,2016-09-15,NULL
43,677,2018-02-23,2019-03-26
8,499,2016-05-11,2020-01-16
86,833,2014-06-15,2021-12-19
21,166,2017-01-22,2020-12-20
44,615,2021-07-05,2022-07-24
51,388,2017-12-04,2019-06-24
6,819,2017-06-19,NULL
33,361,2015-05-13,2021-10-21
63,89,2017-09-08,2023-06-14
23,961,2015-11-21,2015-12-28
79,613,2021-11-13,2021-11-26
51,844,2019-01-24,2020-05-26
45,573,2019-01-16,2023-04-30
94,416,2022-04-05,2022-07-22
72,166,2023-04-09,2023-05-08
66,773,2018-11-14,2022-07-22
76,234,2014-03-03,2016-05-10
30,834,2018-12-19,2019-06-23
19,106,2020-03-13,2020-08-11
98,781,2015-07-27,2020-11-13
79,877,2015-11-25,2016-03-16
78,933,2021-04-05,2021-05-23
6,677,2017-04-08,2020-10-04
92,415,2017-10-21,2021-05-27
1,861,2015-02-11,NULL
55,194,2018-10-31,2021-04-22
55,705,2014-08-01,2016-03-02
92,992,2021-12-31,NULL
20,452,2017-01-13,2022-04-20
51,752,2019-04-29,2020-07-12
53,772,2021-07-28,2022-08-24
56,920,2017-10-14,2020-12-10
91,941,2014-12-31,2017-05-11
18,652,2018-02-12,2020-10-29
96,593,2020-07-26,2023-04-26
82,469,2021-06-03,2023-01-19
13,8,2016-11-15,2021-10-01
48,934,2020-11-05,2021-09-16
25,336,2014-01-04,2018-02-06
13,676,2015-03-03,2022-01-04
60,914,2021-05-22,2022-08-20
33,214,2021-09-14,2023-01-31
39,43,2019-03-10,2020-10-13
4,846,2020-07-30,2022-02-13
28,292,2020-07-27,2021-11-06
72,173,2016-11-29,2018-01-14
5,854,2019-07-23,2022-07-26
56,554,2020-12-08,NULL
66,327,2014-10-18,2020-07-21
62,551,2014-06-21,2014-10-25
8,923,2018-11-19,2019-11-03
50,624,2017-04-04,2023-02-21
46,596,2013-08-15,2019-04-22
76,94,2018-10-19,2019-08-18
71,103,2013-08-03,2021-04-26
11,631,2022-07-05,2023-02-14
50,448,2016-06-15,2018-02-05
21,194,2023-05-28,2023-05-30
50,871,2023-05-29,2023-06-18
76,766,2021-10-08,2022-07-08
27,928,2021-05-09,2021-11-05
1,884,2018-10-08,2023-04-16
28,507,2022-09-15,2023-06-09
53,203,2013-12-24,2020-07-05
87,730,2023-02-24,2023-05-08
89,315,2020-12-29,2021-07-20
85,497,2020-01-05,2022-02-03
72,474,2018-04-30,2018-07-25
52,370,2015-02-18,2018-06-21
64,795,2016-12-09,2020-10-10
45,922,2015-01-26,2018-09-28
68,335,2013-12-30,2023-04-06
22,316,2018-02-28,2021-12-30
68,490,2023-04-21,2023-04-23
47,625,2018-02-18,2021-02-04
74,454,2020-02-01,NULL
5,487,2022-10-13,2022-10-25
66,952,2020-05-03,2020-09-28
8,504,2019-04-28,2021-12-28
73,369,2013-08-22,2016-01-05
4,206,2016-03-15,2018-06-29
80,113,2014-11-28,2021-12-10
70,569,2018-01-23,2018-10-05
64,898,2022-12-26,2023-01-25
80,321,2022-09-12,2023-03-24
26,326,2014-05-30,2020-05-13
9,331,2014-11-22,2019-05-12
94,219,2021-05-11,2022-05-11
26,608,2013-08-20,2018-01-30
34,436,2018-09-21,2018-10-16
10,409,2017-02-17,2021-09-12
58,640,2022-07-01,NULL
2,707,2013-12-09,2014-09-26
50,190,2014-09-18,2017-10-10
3,297,2022-10-18,2023-02-06
7,649,2017-08-28,NULL
28,567,2020-02-21,2022-05-30
95,787,2021-11-01,2022-12-30
57,762,2019-07-17,2021-08-07
15,652,2023-01-23,2023-03-16
78,947,2020-09-17,2022-09-04
63,538,2020-08-10,2022-03-26
92,688,2015-02-17,2021-07-28
59,955,2019-11-19,2022-12-02
91,170,2018-01-28,2022-01-26
68,704,2014-08-11,2020-10-23
55,755,2015-12-29,2021-08-17
84,522,2022-05-02,2022-05-05
31,318,2017-12-26,2021-07-02
16,924,2015-05-04,2018-02-18
27,309,2017-02-28,2020-05-21
11,910,2017-08-16,2020-08-13
7,127,2021-06-23,2022-04-27
85,697,2019-08-04,2021-06-28
1,818,2015-01-31,2017-04-14
33,312,2016-01-04,2020-01-25
47,214,2017-02-16,2022-03-05
98,717,2018-05-25,2019-09-17
81,561,2014-05-19,NULL
25,461,2016-09-03,2022-02-22
3,677,2015-09-09,2019-07-09
86,614,2015-09-24,2017-03-19
81,258,2017-03-29,2023-01-27
2,812,2021-11-11,2022-10-23
58,612,2015-12-23,2018-03-01
3,808,2017-09-15,2022-11-19
4,257,2016-02-12,2017-10-04
19,135,2021-05-13,2022-10-25
73,939,2021-09-29,2021-12-10
7,747,2021-10-24,2022-08-20
60,800,2022-08-02,2023-03-19
4,698,2015-09-25,2018-04-12
50,89,2021-03-05,2022-10-17
25,195,2017-12-26,NULL
11,390,2013-08-25,2017-04-28
60,600,2022-03-28,2022-04-11
17,275,2019-02-17,2019-12-05
56,537,2019-08-08,NULL
21,377,2019-07-19,2022-09-06
42,990,2013-10-18,NULL
76,279,2022-05-21,2023-02-08
46,227,2016-03-06,2021-10-16
34,527,2018-04-19,2019-01-18
72,841,2017-11-26,2023-05-04
89,307,2015-05-07,2023-04-04
72,451,2014-12-13,2023-06-04
7,192,2019-08-29,2021-11-12
47,719,2022-03-19,2023-01-21
81,126,2023-01-28,2023-03-02
40,541,2020-05-20,2022-06-10
30,683,2023-04-27,2023-05-03
53,91,2022-10-29,2022-11-01
28,961,2013-08-20,2016-01-14
76,773,2017-12-26,2021-03-15
85,517,2017-07-25,2019-01-03
8,140,2016-11-29,2020-08-07
97,281,2014-03-07,2018-04-24
39,578,2015-05-29,2015-09-16
88,955,2015-11-04,2023-01-30
39,878,2014-09-13,NULL
17,851,2015-05-08,2022-09-05
85,525,2020-05-16,2021-10-09
49,116,2018-06-30,2019-03-24
92,353,2023-04-01,2023-05-27
16,400,2018-12-15,2020-05-17
34,933,2014-05-27,2020-10-28
74,679,2015-12-15,2020-04-06
86,570,2017-01-10,2021-02-21
15,537,2016-10-15,2019-11-16
10,31,2014-08-11,2016-02-21
73,198,2013-07-18,2022-04-11
24,953,2017-07-24,2020-10-26
39,110,2015-11-15,2016-01-18
67,140,2019-04-30,2023-05-18
4,128,2013-12-10,NULL
5,248,2014-10-26,2019-12-23
3,198,2022-10-25,2023-01-27
96,208,2020-11-01,2022-09-01
63,579,2019-07-07,2019-09-29
76,72,2019-03-21,2019-07-23
22,744,2019-10-25,2020-07-24
70,360,2021-08-23,2022-04-15
22,164,2014-07-13,2022-03-16
40,566,2022-02-10,2022-02-22
76,922,2014-06-14,2019-06-11
94,399,2016-12-17,2022-04-09
67,893,2017-04-28,2021-05-06
24,97,2016-11-19,2019-06-11
96,908,2016-01-05,2022-05-14
86,693,2013-07-26,2021-04-12
20,432,2023-06-09,2023-06-14
6,17,2022-04-22,2022-04-25
88,484,2018-11-08,2022-12-21
26,62,2015-12-07,2017-08-24
18,938,2022-01-14,NULL
54,762,2022-06-02,2022-12-11
38,481,2014-05-07,2018-12-13
93,893,2020-06-05,2021-06-15
41,919,2014-05-15,2023-05-12
53,17,2016-10-15,2020-09-08
29,406,2017-09-26,NULL
32,115,2017-06-16,2017-09-04
19,517,2016-04-10,2017-01-31
84,623,2019-05-09,NULL
18,968,2015-01-07,2016-06-22
53,79,2022-06-07,2023-04-14
35,55,2021-03-13,2022-01-17
68,461,2022-11-05,NULL
69,416,2021-12-16,2022-03-12
23,411,2017-07-26,2020-10-26
51,881,2019-06-19,2022-08-31
90,299,2018-11-06,2019-12-18
98,380,2014-09-21,2019-02-17
11,775,2015-12-21,2016-09-28
58,621,2020-05-05,2021-02-09
54,742,2022-12-15,2023-04-25
53,102,2020-07-12,2022-02-27
85,827,2015-07-06,2017-03-09
24,471,2014-07-01,2021-02-16
30,253,2017-06-01,2020-04-11
50,846,2017-03-19,2019-05-15
48,3,2015-11-06,2020-03-11
96,387,2016-11-05,NULL
4,756,2015-11-13,2017-01-11
74,691,2018-08-25,2021-10-26
95,256,2020-05-16,2023-06-03
75,203,2015-06-21,2020-12-14
40,643,2018-10-19,2021-09-11
72,681,2018-01-14,2019-02-28
31,342,2023-02-18,2023-05-18
5,73,2014-10-27,NULL
69,915,2015-10-02,2019-06-14
5,727,2020-04-16,2022-11-05
35,833,2017-04-11,2023-04-23
58,242,2013-07-11,2020-11-17
22,984,2017-04-27,2022-09-25
90,413,2019-12-20,NULL
32,831,2015-08-06,2021-12-03
76,267,2014-09-24,NULL
90,494,2014-09-16,2016-01-10
72,477,2020-11-22,2021-07-10
28,997,2016-12-16,2017-10-12
70,352,2020-06-18,2023-04-04
12,150,2013-10-31,2017-07-17
54,629,2022-07-13,2022-10-18
45,700,2015-05-30,2021-01-10
42,695,2017-12-19,2019-08-29
32,543,2023-02-24,2023-05-27
30,897,2023-03-10,2023-05-13
61,976,2018-07-19,2020-10-10
68,675,2014-05-25,NULL
40,280,2018-07-25,2019-02-05
20,666,2014-09-09,2019-11-26
60,544,2016-09-08,2020-10-15
11,866,2018-10-09,2020-06-12
94,632,2021-01-17,2023-03-18
74,235,2014-06-26,2019-10-05
51,256,2019-02-25,2023-02-24
95,600,2020-07-28,2020-09-10
18,753,2021-07-31,2022-08-25
74,253,2020-10-16,2022-09-07
75,799,2021-02-08,2022-06-24
77,942,2019-12-05,2021-05-20
15,159,2015-10-30,2022-04-21
10,763,2016-12-06,2020-10-03
76,458,2017-03-22,NULL
97,159,2016-05-05,2020-04-30
63,550,2023-02-26,2023-04-16
19,565,2013-11-20,2023-05-22
1,451,2022-11-12,2023-01-08
62,150,2016-01-21,2020-02-23
49,699,2016-03-22,2022-09-23
86,226,2014-12-01,2020-05-21
39,869,2013-12-05,2019-10-23
76,613,2020-10-29,2022-08-23
14,373,2015-09-26,2016-01-29
9,818,2017-04-30,2019-12-23
48,887,2023-06-05,2023-06-19
7,760,2019-04-09,2021-11-14
79,923,2019-02-11,2022-05-04
21,836,2019-09-04,2021-11-17
49,543,2014-09-06,2019-02-13
47,305,2021-07-27,NULL
55,720,2022-01-31,2023-01-20
38,33,2018-10-17,2019-06-13
74,574,2020-11-17,2022-04-25
42,975,2021-11-26,2022-07-03
94,707,2022-04-26,2022-09-14
55,680,2022-03-14,2022-10-16
50,363,2021-06-16,NULL
63,105,2020-06-23,2020-07-15
10,910,2016-12-09,2019-02-18
87,48,2022-06-10,2023-05-02
16,31,2019-08-30,2020-09-11
29,178,2014-03-18,2017-05-08
5,190,2015-06-01,2019-02-23
19,652,2016-01-29,2016-09-20
8,682,2016-05-21,2016-08-27
20,304,2016-05-09,2016-11-29
22,749,2015-03-19,2019-05-08
69,204,2013-07-21,2014-12-18
55,851,2016-02-14,2020-07-12
45,474,2018-10-05,2021-03-26
51,776,2019-12-24,2023-04-04
60,504,2017-02-06,2022-02-25
28,55,2015-05-08,2022-04-13
43,567,2018-05-04,2020-02-22
82,824,2014-10-05,2018-06-29
46,642,2018-05-13,2022-07-19
54,616,2023-02-01,2023-05-10
21,827,2023-01-12,2023-02-13
8,337,2021-12-04,2022-09-17
25,279,2016-05-10,2019-07-15
94,409,2017-09-10,2021-03-13
60,751,2021-05-31,2021-07-01
31,276,2022-03-10,2023-06-16
85,61,2022-10-11,2023-05-17
30,917,2014-06-29,2018-11-02
21,281,2022-10-08,2023-02-09
10,923,2018-05-21,2023-06-21
33,765,2015-11-12,2016-06-28
82,387,2016-08-30,2019-05-30
93,381,2021-04-01,2022-08-10
70,91,2014-03-21,2014-11-13
62,844,2021-09-28,2022-01-26
36,290,2020-02-02,2021-05-08
6,166,2019-07-30,2023-04-13
93,405,2016-04-13,NULL
43,149,2014-09-08,2020-10-16
57,967,2014-01-09,2022-12-08
28,442,2022-10-02,2023-06-01
82,940,2021-02-27,2022-07-04
49,644,2021-11-21,2022-07-30
82,597,2016-11-05,2022-04-13
98,18,2020-04-17,2020-09-17
69,409,2018-08-28,2019-08-04
49,272,2014-04-23,2016-09-26
98,975,2013-10-01,2018-10-14
81,886,2020-11-20,2022-08-24
27,245,2018-12-13,2022-01-30
22,743,2019-03-26,NULL
65,76,2014-03-23,2021-04-04
12,84,2023-06-23,2023-06-28
81,405,2020-12-14,2021-05-13
51,898,2019-03-02,2023-01-16
43,471,2020-02-04,NULL
40,769,2017-03-28,2022-04-27
59,813,2020-11-01,2021-09-20
66,486,2016-07-21,2020-10-06
30,895,2014-10-24,2019-09-22
11,860,2022-01-02,2022-11-06
79,354,2022-03-28,2022-08-20
94,425,2021-06-09,2022-08-14
62,379,2016-12-15,NULL
25,911,2014-11-21,2022-01-31
6,286,2019-08-21,2022-01-23
71,524,2015-11-01,2020-12-02
59,729,2020-11-22,2023-01-18
79,816,2019-11-12,2021-02-14
19,870,2018-06-10,2019-02-19
21,540,2023-01-18,2023-06-14
3,467,2020-03-26,2022-10-18
98,927,2020-01-07,2021-08-01
24,633,2021-08-24,2021-10-23
26,486,2020-09-16,2021-10-03
37,906,2013-10-01,2023-03-30
5,385,2016-03-20,2022-10-03
82,452,2019-12-26,2022-12-11
99,528,2021-08-27,2023-01-26
54,427,2016-03-17,2021-11-09
12,902,2017-03-18,2020-10-17
66,766,2013-10-29,2020-07-05
84,408,2022-01-23,2023-01-28
31,350,2018-07-20,2022-10-25
66,635,2019-10-18,2023-04-05
86,485,2016-06-24,2017-11-04
28,140,2021-01-29,2022-10-13
77,805,2021-03-11,2022-10-07
65,727,2016-11-23,2017-04-27
79,202,2022-12-23,2023-06-29
90,778,2020-10-08,2021-02-10
97,128,2014-10-12,2015-01-17
24,509,2016-07-27,2017-04-11
14,453,2016-01-14,2022-12-29
61,889,2016-03-08,2021-02-24
48,308,2013-10-10,2022-04-08
49,612,2016-10-19,2016-12-09
81,90,2023-03-12,2023-06-30
21,477,2019-09-20,2022-06-05
95,414,2018-08-21,2019-03-24
77,757,2017-02-18,2021-08-16
90,553,2015-02-26,NULL
3,24,2017-04-27,2022-04-30
93,251,2021-11-07,2022-05-31
57,131,2022-10-31,2023-04-06
7,173,2015-08-05,2021-08-24
71,284,2016-07-28,2018-10-13
18,308,2017-02-02,2018-08-06
36,361,2019-11-24,2023-02-22
8,327,2021-12-08,2023-05-01
95,578,2020-08-21,2023-05-11
79,104,2018-01-06,2019-05-31
39,480,2021-06-14,2023-05-28
49,372,2019-09-14,2022-01-07
48,654,2017-05-12,2019-11-03
44,743,2018-04-26,2022-05-20
97,105,2015-12-03,2016-05-11
80,321,2019-12-18,2021-08-16
27,131,2017-08-03,2019-01-12
18,361,2019-09-21,2019-10-05
58,447,2016-12-10,2022-07-13
66,85,2013-11-11,2020-03-01
79,313,2021-09-18,2022-09-18
80,280,2014-05-27,2023-06-29
67,348,2014-10-12,2018-11-28
93,842,2019-08-06,2020-09-17
35,596,2020-12-17,2022-05-06
52,35,2021-05-17,NULL
15,235,2021-04-06,2022-03-24
5,722,2022-02-22,2022-06-07
22,872,2015-04-05,NULL
40,275,2017-09-09,2022-07-05
30,923,2014-08-20,2020-11-29
14,246,2017-07-28,2023-05-13
68,290,2014-12-13,2018-07-31
84,69,2018-01-16,2022-02-26
95,431,2016-06-21,2020-05-01
22,751,2017-05-09,2022-03-14
80,768,2023-05-21,2023-06-10
21,770,2016-02-16,2021-03-27
87,327,2017-02-21,2019-07-06
7,174,2018-08-21,2021-09-14
17,455,2020-09-28,2022-07-25
8,159,2014-06-30,2018-09-14
90,261,2018-01-01,2020-03-13
85,592,2016-11-11,NULL
96,378,2017-05-06,2017-07-07
86,795,2014-05-07,2019-03-12
33,861,2014-05-24,2018-02-27
98,775,2016-05-01,2021-04-02
39,311,2018-12-20,2021-12-21
95,425,2014-01-08,2018-06-30
20,626,2016-08-03,2019-08-10
99,671,2020-04-22,2021-08-28
25,331,2018-06-19,2019-10-03
37,894,2016-10-30,NULL
27,824,2015-04-07,2020-08-29
62,777,2022-12-10,2023-06-07
